Test parameter,rn,WT_500_samp29,WT_500_samp31,WT_500_samp35,Sample size
,,WT_500_samp29,WT_500_samp31,WT_500_samp35,Sample size
Maximum,WT_500_samp29,1.00,0.32,0.01,127
Maximum,WT_500_samp31,0.32,1.00,0.06,161
Maximum,WT_500_samp35,0.01,0.06,1.00,169
Maximum,Sample size,127,161,169,
,,WT_500_samp29,WT_500_samp31,WT_500_samp35,Sample size
Slope,WT_500_samp29,1.00,0.37,0.13,127
Slope,WT_500_samp31,0.37,1.00,0.35,161
Slope,WT_500_samp35,0.13,0.35,1.00,169
Slope,Sample size,127,161,169,
,,WT_500_samp29,WT_500_samp31,WT_500_samp35,Sample size
Midpoint,WT_500_samp29,1.00,0.84,0.07,127
Midpoint,WT_500_samp31,0.84,1.00,0.06,161
Midpoint,WT_500_samp35,0.07,0.06,1.00,169
Midpoint,Sample size,127,161,169,
,,WT_500_samp29,WT_500_samp31,WT_500_samp35,Sample size
Start point,WT_500_samp29,1.00,0.87,0.12,127
Start point,WT_500_samp31,0.87,1.00,0.12,161
Start point,WT_500_samp35,0.12,0.12,1.00,169
Start point,Sample size,127,161,169,
,,WT_500_samp29,WT_500_samp31,WT_500_samp35,Sample size
Infection time,WT_500_samp29,1.00,0.36,0.58,127
Infection time,WT_500_samp31,0.36,1.00,0.19,161
Infection time,WT_500_samp35,0.58,0.19,1.00,169
Infection time,Sample size,127,161,169,
