Test parameter,rn,infection,infection&lysis,Sample size
,,infection,infection&lysis,Sample size
Maximum,infection,1.00,0,28
Maximum,infection&lysis,0,1.00,135
Maximum,Sample size,28,135,
,,infection,infection&lysis,Sample size
Slope,infection,1.00,0,28
Slope,infection&lysis,0,1.00,135
Slope,Sample size,28,135,
,,infection,infection&lysis,Sample size
Midpoint,infection,1.00,0,28
Midpoint,infection&lysis,0,1.00,135
Midpoint,Sample size,28,135,
,,infection,infection&lysis,Sample size
Start point,infection,1.00,0,28
Start point,infection&lysis,0,1.00,135
Start point,Sample size,28,135,
,,infection,infection&lysis,Sample size
Infection time,infection,1.00,0,28
Infection time,infection&lysis,0,1.00,135
Infection time,Sample size,28,135,
